Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 0, 0, 1, 0

Generation, Selected, Fitness Mean, Fitness SD, Score Mean, Score SD, Diversity Mean, Diversity SD, Relative Score Mean, Relative Diversity Mean, Niceness Mean, Forgiveness Mean, Retaliation Mean, Non-Envy Mean, All-Coop Prop, All-Defect Prop, Mixed Prop
0, 15, 0.495789, 0.0841052, 0.153605, 0.0155321, 0.639758, 0.00823767, 0.588228, 0.446018, 0.48875, 0.512632, 0.495789, 0.5155, 0.257747, 0.246927, 0.495325
1, 12, 0.548947, 0.0795608, 0.161598, 0.0154025, 0.63583, 0.010141, 0.566993, 0.519292, 0.48, 0.505789, 0.548947, 0.478, 0.213343, 0.298897, 0.48776
2, 16, 0.562895, 0.0805018, 0.163224, 0.0159281, 0.633669, 0.010802, 0.528015, 0.485478, 0.47375, 0.5, 0.562895, 0.4695, 0.204309, 0.321149, 0.474541
3, 17, 0.606316, 0.0858331, 0.168832, 0.0183647, 0.623281, 0.0156691, 0.578198, 0.494172, 0.47, 0.483684, 0.606316, 0.428, 0.173158, 0.372784, 0.454059
4, 15, 0.648684, 0.0797655, 0.173777, 0.0160113, 0.604695, 0.021088, 0.439418, 0.461932, 0.4625, 0.455263, 0.648684, 0.397, 0.145681, 0.408202, 0.446117
5, 12, 0.687368, 0.0713231, 0.17783, 0.0164406, 0.580986, 0.0270987, 0.59049, 0.43395, 0.44125, 0.434211, 0.687368, 0.3605, 0.123168, 0.457467, 0.419366
6, 19, 0.712105, 0.0598729, 0.180134, 0.0181455, 0.561786, 0.0287242, 0.609587, 0.505801, 0.4125, 0.418421, 0.712105, 0.3305, 0.110366, 0.488432, 0.401202
7, 14, 0.734474, 0.0570628, 0.181132, 0.0174765, 0.543846, 0.0286562, 0.558625, 0.517304, 0.3975, 0.411053, 0.734474, 0.313, 0.104824, 0.49601, 0.399166
8, 24, 0.752895, 0.056917, 0.183265, 0.0170799, 0.524533, 0.0321397, 0.594522, 0.503427, 0.375, 0.396842, 0.752895, 0.2965, 0.0929737, 0.541715, 0.365311
9, 12, 0.782368, 0.0522161, 0.186951, 0.0180479, 0.490558, 0.0336381, 0.501137, 0.404496, 0.3375, 0.36, 0.782368, 0.265, 0.0724949, 0.593323, 0.334182
10, 15, 0.803684, 0.0501273, 0.189335, 0.0186437, 0.46284, 0.0336119, 0.569655, 0.441009, 0.29625, 0.338947, 0.803684, 0.2355, 0.0592525, 0.632509, 0.308238
11, 19, 0.823421, 0.0479922, 0.190819, 0.0200048, 0.439745, 0.0366401, 0.557047, 0.394164, 0.285, 0.315789, 0.823421, 0.217, 0.0510081, 0.654915, 0.294077
12, 18, 0.858684, 0.0375228, 0.194708, 0.0187829, 0.382113, 0.0352112, 0.642003, 0.331915, 0.22875, 0.268947, 0.858684, 0.184, 0.029398, 0.742838, 0.227764
13, 22, 0.877895, 0.0323417, 0.196363, 0.0153872, 0.348174, 0.0298588, 0.606619, 0.391224, 0.2125, 0.243158, 0.877895, 0.1615, 0.0202061, 0.795061, 0.184733
14, 17, 0.896053, 0.0309979, 0.196775, 0.0144719, 0.315992, 0.0288953, 0.667897, 0.477851, 0.19875, 0.221579, 0.896053, 0.138, 0.0179192, 0.81243, 0.169651
15, 17, 0.911316, 0.0303842, 0.196685, 0.0150441, 0.288323, 0.0341078, 0.712056, 0.486567, 0.1775, 0.209474, 0.911316, 0.127, 0.0184182, 0.811002, 0.17058
16, 14, 0.927105, 0.0304297, 0.197814, 0.0140362, 0.253119, 0.0374451, 0.676977, 0.385272, 0.15375, 0.185263, 0.927105, 0.108, 0.0121455, 0.849931, 0.137923
17, 19, 0.941316, 0.0304297, 0.198022, 0.0148337, 0.224251, 0.0384789, 0.67977, 0.31433, 0.14125, 0.17, 0.941316, 0.0965, 0.0109899, 0.858273, 0.130737
18, 13, 0.951842, 0.0278637, 0.198036, 0.0149966, 0.200137, 0.0375048, 0.681903, 0.29225, 0.12875, 0.155263, 0.951842, 0.0865, 0.0109131, 0.87437, 0.114717
19, 18, 0.964211, 0.0239806, 0.198796, 0.0142829, 0.167317, 0.0352129, 0.817335, 0.332384, 0.10625, 0.134211, 0.964211, 0.0705, 0.00669091, 0.911962, 0.0813475
