Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 1, 0, 0, 0, 0, 0

Rank, Strategy, Fitness, Average Score, Average Diversity, Relative Average Score, Relative Average Diversity, Niceness, Forgiveness, Retaliation, Non-Envy
1, 0010111011101010111010000010111011101110111010101110111011001110, 1, 0.105699, 0.271515, 1, 0.398119, 0.625, 0.421053, 0.657895, 0.45
2, 1010111011101010111011000010111011101100001011101010111011101010, 0.811817, 0.121592, 0.254141, 0.811817, 0.263323, 0.625, 0.421053, 0.657895, 0.35
3, 1010101011101100111011000010111011101010011011101110110000101110, 0.796388, 0.122895, 0.294141, 0.796388, 0.573668, 0.5, 0.368421, 0.578947, 0.45
4, 1010011011101010111011000010111010101110111011101100001011101110, 0.79268, 0.123208, 0.274343, 0.79268, 0.420063, 0.625, 0.473684, 0.684211, 0.4
5, 1110111010101110111011001110111011000010111011101100001011101110, 0.708863, 0.130287, 0.270707, 0.708863, 0.39185, 0.625, 0.315789, 0.657895, 0.4
6, 1110111011101010111011101010111011101100001011101110101001101110, 0.706088, 0.130521, 0.229495, 0.706088, 0.0721003, 0.625, 0.315789, 0.684211, 0.3
7, 1110111010101110111011000010111011101010011011101010101011101100, 0.695563, 0.13141, 0.25899, 0.695563, 0.30094, 0.625, 0.315789, 0.631579, 0.4
8, 1110110000101110101011101010001011101100001010101010111011001110, 0.694008, 0.131541, 0.304646, 0.694008, 0.655172, 0.625, 0.421053, 0.578947, 0.45
9, 1010111011101010101011101100001011101010101011101110111011101010, 0.689367, 0.131933, 0.243636, 0.689367, 0.181818, 0.75, 0.473684, 0.736842, 0.3
10, 1010011011101010101011101100101011101110101011101110110000101110, 0.687191, 0.132117, 0.274343, 0.687191, 0.420063, 0.625, 0.473684, 0.684211, 0.4
11, 1010111011101010111011101010101011101100001011101010101011101110, 0.686353, 0.132188, 0.235152, 0.686353, 0.115987, 0.75, 0.421053, 0.710526, 0.3
12, 1010101011101100111011101010111011101100001011101110101001101110, 0.68133, 0.132612, 0.259798, 0.68133, 0.30721, 0.625, 0.368421, 0.657895, 0.3
13, 1111111011101100101011101110111010100110011011101100001011101110, 0.673604, 0.133265, 0.292929, 0.673604, 0.564263, 0.625, 0.315789, 0.684211, 0.35
14, 1010111011101010111011101010111011000010111011101100001011101010, 0.667169, 0.133808, 0.271919, 0.667169, 0.401254, 0.75, 0.421053, 0.684211, 0.35
15, 1110111010101110111011000010111011101010011011101110101011101110, 0.660423, 0.134378, 0.234747, 0.660423, 0.112853, 0.625, 0.263158, 0.657895, 0.4
16, 1010111011101010101011101100001011101010101011101110111011101110, 0.66016, 0.1344, 0.235556, 0.66016, 0.119122, 0.625, 0.473684, 0.736842, 0.3
17, 1110111010100110111011101100001011101010111010101010111011000010, 0.659706, 0.134438, 0.289293, 0.659706, 0.53605, 0.75, 0.473684, 0.684211, 0.5
18, 1110111010101110111011000010111011101010011011100010111010101110, 0.655257, 0.134814, 0.265051, 0.655257, 0.347962, 0.5, 0.368421, 0.631579, 0.5
19, 1010101011101110111101101110111011101100001011101010111010101010, 0.6482, 0.13541, 0.286465, 0.6482, 0.514107, 0.625, 0.421053, 0.710526, 0.35
20, 1010111011101110111010100110111011101100001011101100111101101110, 0.646358, 0.135566, 0.285657, 0.646358, 0.507837, 0.5, 0.315789, 0.657895, 0.35
21, 1110111011101110101011101110101011101100001011101010111111101110, 0.635402, 0.136491, 0.244848, 0.635402, 0.191223, 0.5, 0.368421, 0.736842, 0.3
22, 0010111011101010011011101010101011101100111011000010111010101110, 0.631695, 0.136804, 0.29697, 0.631695, 0.595611, 0.625, 0.578947, 0.684211, 0.45
23, 1010111011101010111011101100001011101110101001101110111010101110, 0.630331, 0.136919, 0.24404, 0.630331, 0.184953, 0.625, 0.421053, 0.710526, 0.35
24, 1010111011101010111011000010111011101110110000101110111011101010, 0.628035, 0.137113, 0.261414, 0.628035, 0.319749, 0.625, 0.368421, 0.657895, 0.4
25, 1110110000101110111011000010111010101110111010101110111010100110, 0.620787, 0.137725, 0.291717, 0.620787, 0.554859, 0.5, 0.315789, 0.578947, 0.65
26, 1110111011000010111011001110111010101110101011101110101011101110, 0.618706, 0.137901, 0.241212, 0.618706, 0.163009, 0.625, 0.368421, 0.710526, 0.4
27, 1100101011101110101011101110111011101010011011101110110000101110, 0.618467, 0.137921, 0.272323, 0.618467, 0.404389, 0.5, 0.368421, 0.657895, 0.4
28, 1110101001101110111011000010111010101110101010101110110000101110, 0.617438, 0.138008, 0.297374, 0.617438, 0.598746, 0.5, 0.315789, 0.552632, 0.55
29, 1110111011000010111011101010011011101110101011101110111011000010, 0.611889, 0.138477, 0.259394, 0.611889, 0.304075, 0.625, 0.473684, 0.710526, 0.4
30, 1100111011101010111011101010111011101010011011001010111011101010, 0.611865, 0.138479, 0.251717, 0.611865, 0.244514, 0.625, 0.368421, 0.684211, 0.3
31, 1110111011000010111011101010111011101110110000101110111010100110, 0.610597, 0.138586, 0.27596, 0.610597, 0.432602, 0.5, 0.421053, 0.657895, 0.5
32, 1010111011101010111011001010111011101010111011101110101011101100, 0.610501, 0.138594, 0.230303, 0.610501, 0.0783699, 0.625, 0.368421, 0.710526, 0.3
33, 1110111010100110111011101100001011101110101001101110111011000010, 0.61019, 0.13862, 0.279192, 0.61019, 0.45768, 0.75, 0.421053, 0.684211, 0.45
34, 1010011011101010101011101100111010101110111010101110111010101110, 0.608755, 0.138741, 0.259798, 0.608755, 0.30721, 0.5, 0.473684, 0.710526, 0.45
35, 1110111010100110111010101010111011001100101011101110101011101110, 0.604545, 0.139097, 0.258586, 0.604545, 0.297806, 0.75, 0.315789, 0.684211, 0.4
36, 1010111011001110111011000010111011101110111011101110101011101110, 0.60134, 0.139368, 0.229495, 0.60134, 0.0721003, 0.625, 0.315789, 0.710526, 0.35
37, 1110111011000010111011101010011011101110111010101110111011000010, 0.600263, 0.139459, 0.267071, 0.600263, 0.363636, 0.625, 0.473684, 0.710526, 0.45
38, 1110101011101110111011000010111011101010011011101110110000101100, 0.596532, 0.139774, 0.287273, 0.596532, 0.520376, 0.5, 0.315789, 0.578947, 0.45
39, 1110110000101010101011101100111011101110101011101110101001101110, 0.595503, 0.139861, 0.267071, 0.595503, 0.363636, 0.625, 0.368421, 0.657895, 0.4
40, 1110111010101110111011000010111011101010011011101010111011000010, 0.593183, 0.140057, 0.270707, 0.593183, 0.39185, 0.625, 0.368421, 0.631579, 0.45
41, 1110111010101110111011000010111011101010011011101010111011000010, 0.580505, 0.141127, 0.270707, 0.580505, 0.39185, 0.625, 0.368421, 0.631579, 0.45
42, 1010101011101110111011101110101011101000001011101110111011101010, 0.578256, 0.141317, 0.24202, 0.578256, 0.169279, 0.75, 0.368421, 0.710526, 0.3
43, 1100101011101110101011101110101011101110101011101110110010101110, 0.575434, 0.141556, 0.250101, 0.575434, 0.231975, 0.625, 0.368421, 0.710526, 0.4
44, 1010111011101010111011101110111010100110111011101100001011101010, 0.574501, 0.141634, 0.25697, 0.574501, 0.285266, 0.75, 0.421053, 0.736842, 0.4
45, 1110111010101110111011000010111011101010011011101110101010101110, 0.573544, 0.141715, 0.245657, 0.573544, 0.197492, 0.625, 0.263158, 0.631579, 0.45
46, 1010111011000010111010101110111011101100001011101110111011101100, 0.572228, 0.141826, 0.273939, 0.572228, 0.416928, 0.625, 0.421053, 0.684211, 0.35
47, 1010111010000010111011101110111010101110111011001110111011000010, 0.570267, 0.141992, 0.286465, 0.570267, 0.514107, 0.625, 0.473684, 0.684211, 0.5
48, 1111011011101110111011000010111010101110101010101110110000101110, 0.568664, 0.142127, 0.306667, 0.568664, 0.670846, 0.5, 0.263158, 0.578947, 0.5
49, 1110101011101110101011101100001011101100101011101110111011101010, 0.565865, 0.142364, 0.249697, 0.565865, 0.22884, 0.75, 0.421053, 0.736842, 0.3
50, 1110101010101110101011101110101011101100001011101100101011101110, 0.56577, 0.142372, 0.255758, 0.56577, 0.275862, 0.75, 0.368421, 0.684211, 0.35
